species,x,y
Lacerta,-6.755956,42.294529
Lacerta,-6.64479,42.022137
Lacerta,-6.64146,42.112124
Lacerta,-6.638115,42.202109
Lacerta,-6.634754,42.292092
Lacerta,-7.130266,41.941017
Lacerta,-7.009706,41.93899
Lacerta,-6.889158,41.936836
Lacerta,-6.768625,41.934556
Lacerta,-6.648106,41.932149
Lacerta,-7.713115,42.939635
Lacerta,-7.711236,43.029661
Lacerta,-7.709348,43.119685
Lacerta,-7.707451,43.209707
Lacerta,-7.705545,43.299728
Lacerta,-7.59059,42.938192
Lacerta,-7.588531,43.028213
Lacerta,-7.586464,43.118232
Lacerta,-7.584386,43.20825
Lacerta,-7.463589,43.116648
Lacerta,-7.340725,43.114932
Lacerta,-7.223072,42.933076
Lacerta,-7.220478,43.023081
Lacerta,-7.722384,42.489485
Lacerta,-7.720547,42.579518
Lacerta,-7.718702,42.669549
Lacerta,-7.714986,42.849608
Lacerta,-7.60074,42.488064
Lacerta,-7.472516,42.756581
Lacerta,-7.352748,42.66487
Lacerta,-7.235866,42.483027
Lacerta,-7.233331,42.57304
Lacerta,-7.230784,42.663051
Lacerta,-7.228225,42.753061
Lacerta,-7.100589,42.931108
Lacerta,-7.097816,43.021107
Lacerta,-7.09503,43.111104
Lacerta,-7.092232,43.2011
Lacerta,-7.08942,43.291094
Lacerta,-6.978118,42.92901
Lacerta,-6.975167,43.019002
Lacerta,-6.972202,43.108993
Lacerta,-6.969223,43.198982
Lacerta,-6.966231,43.288969
Lacerta,-6.855662,42.92678
Lacerta,-6.852532,43.016766
Lacerta,-6.849388,43.10675
Lacerta,-6.846229,43.196732
Lacerta,-6.843055,43.286712
Lacerta,-6.733219,42.92442
Lacerta,-6.729911,43.014398
Lacerta,-6.610792,42.921929
Lacerta,-6.607305,43.011899
Lacerta,-6.600284,43.191835
Lacerta,-6.596749,43.2818
Lacerta,-7.111554,42.571097
Lacerta,-7.108831,42.661102
Lacerta,-7.103349,42.841108
Lacerta,-6.989789,42.569025
Lacerta,-6.983981,42.74902
Lacerta,-6.981056,42.839016
Lacerta,-6.871097,42.47683
Lacerta,-6.864965,42.656815
Lacerta,-6.861878,42.746805
Lacerta,-6.858777,42.836794
Lacerta,-6.73979,42.74446
Lacerta,-6.736512,42.834441
Lacerta,-6.627986,42.472054
Lacerta,-6.624578,42.562032
Lacerta,-6.621155,42.652009
Lacerta,-6.617717,42.741984
Lacerta,-6.614262,42.831957
Lacerta,-7.701708,43.479766
Lacerta,-7.697834,43.659798
Lacerta,-7.695884,43.749812
Lacerta,-7.575981,43.568308
Lacerta,-7.452195,43.566698
Lacerta,-7.333377,43.384951
Lacerta,-7.086596,43.381087
Lacerta,-7.083758,43.471078
Lacerta,-7.080907,43.561067
Lacerta,-6.960204,43.46894
Lacerta,-6.95717,43.558922
Lacerta,-6.839867,43.376691
Lacerta,-6.83667,43.466668
Lacerta,-6.586046,43.551685
Lacerta,-6.590889,40.219679
Lacerta,-6.587692,40.30969
Lacerta,-6.58448,40.3997
Lacerta,-6.470124,40.307178
Lacerta,-6.466757,40.397179
Lacerta,-6.463374,40.48718
Lacerta,-6.352572,40.304545
Lacerta,-6.349048,40.394539
Lacerta,-6.345509,40.484531
Lacerta,-6.227659,40.481762
Lacerta,-6.223946,40.571743
Lacerta,-6.109827,40.478873
Lacerta,-6.105957,40.568845
Lacerta,-6.030374,40.296613
Lacerta,-6.02842,40.386633
Lacerta,-6.026456,40.476651
Lacerta,-6.070326,41.378518
Lacerta,-6.524117,42.019596
Lacerta,-6.520616,42.109575
Lacerta,-6.5171,42.199552
Lacerta,-6.513567,42.289527
Lacerta,-6.510018,42.379501
Lacerta,-6.403459,42.016929
Lacerta,-6.399788,42.106899
Lacerta,-6.396101,42.196867
Lacerta,-6.392397,42.286834
Lacerta,-6.282818,42.014134
Lacerta,-6.279006,42.104095
Lacerta,-6.275119,42.194056
Lacerta,-6.271243,42.284014
Lacerta,-6.158184,42.101166
Lacerta,-6.146053,42.371012
Lacerta,-6.407112,41.926957
Lacerta,-6.286641,41.924171
Lacerta,-6.481034,43.09923
Lacerta,-6.477336,43.189188
Lacerta,-6.365986,42.916555
Lacerta,-6.358283,43.09646
Lacerta,-6.354405,43.18641
Lacerta,-6.239588,43.003616
Lacerta,-6.235549,43.093558
Lacerta,-6.112834,43.090526
Lacerta,-6.108597,43.180457
Lacerta,-6.024674,43.178186
Lacerta,-6.022505,43.268166
Lacerta,-6.506453,42.469473
Lacerta,-6.495659,42.739379
Lacerta,-6.259508,42.553877
Lacerta,-6.12543,42.820721
Lacerta,-6.469887,43.3691
Lacerta,-6.346594,43.366304
Lacerta,-6.338711,43.546192
Lacerta,-6.219205,43.453311
Lacerta,-6.095767,43.45024
Lacerta,-6.09145,43.540164
Lacerta,-5.49702,39.407066
Lacerta,-5.503474,39.587101
Lacerta,-5.380976,39.409501
Lacerta,-5.384046,39.499527
Lacerta,-5.38713,39.589551
Lacerta,-5.967719,40.11662
Lacerta,-5.874866,40.118964
Lacerta,-5.640429,40.124551
Lacerta,-5.523186,40.127166
Lacerta,-5.405929,40.129663
Lacerta,-5.267839,39.501853
Lacerta,-5.270773,39.591884
Lacerta,-4.802885,39.509996
Lacerta,-4.686619,39.511741
Lacerta,-4.688802,39.601805
Lacerta,-4.690995,39.691866
Lacerta,-4.570343,39.513371
Lacerta,-4.572376,39.603439
Lacerta,-4.454058,39.514883
Lacerta,-4.45594,39.604957
Lacerta,-4.337764,39.51628
Lacerta,-4.339496,39.606358
Lacerta,-4.218321,39.337393
Lacerta,-5.288657,40.132041
Lacerta,-5.171372,40.134301
Lacerta,-5.054074,40.136442
Lacerta,-3.973914,38.438594
Lacerta,-3.858282,38.34938
Lacerta,-3.743854,38.350162
Lacerta,-3.28682,38.53241
Lacerta,-5.971615,40.296664
Lacerta,-5.878667,40.208943
Lacerta,-5.882485,40.298921
Lacerta,-5.886321,40.388896
Lacerta,-5.890174,40.47887
Lacerta,-5.894044,40.568843
Lacerta,-5.761302,40.211805
Lacerta,-5.764965,40.301791
Lacerta,-5.768645,40.391776
Lacerta,-5.643921,40.214548
Lacerta,-5.647429,40.304543
Lacerta,-5.650952,40.394536
Lacerta,-5.654492,40.484528
Lacerta,-5.526524,40.217171
Lacerta,-5.529876,40.307175
Lacerta,-5.533244,40.397177
Lacerta,-5.409112,40.219676
Lacerta,-5.412309,40.309688
Lacerta,-5.97752,43.178244
Lacerta,-5.891404,43.180454
Lacerta,-5.756391,42.913669
Lacerta,-5.760412,43.003613
Lacerta,-5.768509,43.183497
Lacerta,-5.641718,43.096457
Lacerta,-5.645596,43.186407
Lacerta,-5.649492,43.276355
Lacerta,-5.515285,43.009267
Lacerta,-5.518966,43.099227
Lacerta,-5.522665,43.189185
Lacerta,-5.52638,43.279142
Lacerta,-5.966785,42.728322
Lacerta,-5.968914,42.818309
Lacerta,-5.866269,42.64084
Lacerta,-5.87041,42.73078
Lacerta,-5.874571,42.820718
Lacerta,-5.748405,42.733775
Lacerta,-5.752389,42.823723
Lacerta,-5.618819,42.556722
Lacerta,-5.622592,42.646682
Lacerta,-5.626382,42.736641
Lacerta,-5.63019,42.826597
Lacerta,-5.981885,43.358203
Lacerta,-5.986291,43.538156
Lacerta,-5.899938,43.360312
Lacerta,-5.780796,43.453309
Lacerta,-5.789082,43.633174
Lacerta,-5.653406,43.366302
Lacerta,-5.657339,43.456246
Lacerta,-5.661289,43.546189
Lacerta,-5.533863,43.459051
Lacerta,-5.537631,43.549003
Lacerta,-5.291685,40.222062
Lacerta,-5.294727,40.312081
Lacerta,-5.297782,40.402098
Lacerta,-5.300851,40.492114
Lacerta,-5.174245,40.224329
Lacerta,-5.177131,40.314355
Lacerta,-5.18003,40.404379
Lacerta,-5.182943,40.494402
Lacerta,-5.185868,40.584424
Lacerta,-5.056792,40.226476
Lacerta,-5.059523,40.316509
Lacerta,-5.062265,40.406541
Lacerta,-5.06502,40.496571
Lacerta,-5.067788,40.586599
Lacerta,-4.941902,40.318544
Lacerta,-4.944488,40.408582
Lacerta,-4.947086,40.498619
Lacerta,-4.949696,40.588653
Lacerta,-4.824269,40.32046
Lacerta,-4.826699,40.410504
Lacerta,-4.82914,40.500546
Lacerta,-4.706625,40.322256
Lacerta,-4.708899,40.412306
Lacerta,-4.711182,40.502354
Lacerta,-4.588971,40.323932
Lacerta,-4.591088,40.413987
Lacerta,-4.593215,40.504041
Lacerta,-4.471308,40.325489
Lacerta,-4.473268,40.415549
Lacerta,-4.359071,40.597115
Lacerta,-4.240919,40.598445
Lacerta,-4.360899,40.687175
Lacerta,-4.242588,40.688509
Lacerta,-5.389209,42.921927
Lacerta,-5.396198,43.101865
Lacerta,-5.399716,43.191832
Lacerta,-5.273413,43.104372
Lacerta,-5.276752,43.194346
Lacerta,-5.147469,43.016763
Lacerta,-5.021882,42.929007
Lacerta,-5.03377,43.288967
Lacerta,-4.91058,43.291092
Lacerta,-5.378845,42.652006
Lacerta,-5.382284,42.741981
Lacerta,-5.385738,42.831955
Lacerta,-5.256948,42.654474
Lacerta,-5.260211,42.744457
Lacerta,-5.135035,42.656812
Lacerta,-5.138122,42.746802
Lacerta,-5.141224,42.836791
Lacerta,-4.776929,42.933073
Lacerta,-4.782129,43.113081
Lacerta,-4.784748,43.203083
Lacerta,-4.787378,43.293084
Lacerta,-4.654434,42.934909
Lacerta,-4.659276,43.114929
Lacerta,-4.661714,43.204937
Lacerta,-4.664164,43.294943
Lacerta,-4.534164,43.026631
Lacerta,-4.538669,43.206659
Lacerta,-4.540938,43.29667
Lacerta,-4.290653,43.119682
Lacerta,-4.29255,43.209705
Lacerta,-4.294455,43.299726
Lacerta,-4.774346,42.843066
Lacerta,-4.283152,42.759577
Lacerta,-5.406803,43.371761
Lacerta,-5.41037,43.461722
Lacerta,-5.413955,43.551683
Lacerta,-5.283476,43.374291
Lacerta,-5.286861,43.464261
Lacerta,-5.160133,43.376688
Lacerta,-5.163336,43.466666
Lacerta,-5.036776,43.378953
Lacerta,-5.039796,43.468937
Lacerta,-4.913405,43.381084
Lacerta,-4.790021,43.383083
Lacerta,-4.543216,43.38668
Lacerta,-4.122759,40.599654
Lacerta,-3.774513,41.142998
Lacerta,-4.124269,40.689722
Lacerta,-4.125786,40.779789
Lacerta,-4.005943,40.690814
Lacerta,-4.007301,40.780884
Lacerta,-4.008665,40.870952
Lacerta,-4.011411,41.051085
Lacerta,-3.887611,40.691784
Lacerta,-3.88881,40.781857
Lacerta,-3.890013,40.871929
Lacerta,-3.891222,40.961999
Lacerta,-3.892436,41.052068
Lacerta,-3.770313,40.782709
Lacerta,-3.771356,40.872784
Lacerta,-3.772403,40.962856
Lacerta,-3.773456,41.052928
Lacerta,-3.651811,40.78344
Lacerta,-3.652694,40.873516
Lacerta,-3.65358,40.963591
Lacerta,-3.654471,41.053665
Lacerta,-3.536214,41.144354
Lacerta,-3.536949,41.234426
Lacerta,-3.417059,41.144847
Lacerta,-3.417631,41.234921
Lacerta,-3.418205,41.324994
Lacerta,-3.297901,41.145216
Lacerta,-3.298309,41.235292
Lacerta,-3.29872,41.325366
Lacerta,-3.299132,41.415439
Lacerta,-3.178741,41.145463
Lacerta,-3.179233,41.325614
Lacerta,-3.059581,41.145586
Lacerta,-3.059662,41.235663
Lacerta,-3.059744,41.325738
Lacerta,-3.535482,41.054279
Lacerta,-3.415922,40.964694
Lacerta,-3.416489,41.054771
Lacerta,-3.297494,41.055139
Lacerta,-4.046395,43.212221
Lacerta,-3.923306,43.213281
Lacerta,-4.160973,42.760881
Lacerta,-4.038786,42.762054
Lacerta,-3.915268,42.673056
Lacerta,-3.917923,42.853137
Lacerta,-3.793244,42.673966
Lacerta,-3.794392,42.76401
Lacerta,-3.795545,42.854053
Lacerta,-3.671216,42.674747
Lacerta,-3.672187,42.764793
Lacerta,-3.673163,42.854838
Lacerta,-3.554823,43.305705
Lacerta,-3.307786,43.216593
Lacerta,-3.30824,43.306636
Lacerta,-3.184673,43.216858
Lacerta,-3.061467,43.126945
Lacerta,-3.549977,42.765445
Lacerta,-3.550776,42.855492
Lacerta,-3.427146,42.675917
Lacerta,-3.427764,42.765967
Lacerta,-3.305548,42.766358
Lacerta,-4.172933,43.391078
Lacerta,-4.049488,43.392278
Lacerta,-3.555644,43.395744
Lacerta,-3.556469,43.485781
Lacerta,-2.940256,41.325738
Lacerta,-2.938623,43.036898
Lacerta,-2.938533,43.126945
Lacerta,-2.938442,43.21699
Lacerta,-2.938352,43.307034
Lacerta,-2.815599,43.126813
Lacerta,-2.815055,43.306901
Lacerta,-2.692666,43.126549
Lacerta,-2.692214,43.216593
Lacerta,-2.69176,43.306636
Lacerta,-2.445994,43.215666
Lacerta,-2.694009,42.856408
Lacerta,-2.322889,43.215003
Lacerta,-2.199789,43.214208
Lacerta,-2.198609,43.304244
Lacerta,-2.075332,43.303313
Lacerta,-2.814782,43.396944
Lacerta,-2.691304,43.396677
Lacerta,-9.402552,38.712302
Lacerta,-9.403058,38.802415
Lacerta,-9.2879,38.802755
Lacerta,-9.290105,39.343408
Lacerta,-9.174288,39.433744
Lacerta,-9.058096,39.43386
Lacerta,-9.058171,39.523963
Lacerta,-9.058246,39.614066
Lacerta,-9.404078,38.982636
Lacerta,-9.404591,39.072744
Lacerta,-9.288264,38.892867
Lacerta,-9.288629,38.982978
Lacerta,-9.289364,39.163196
Lacerta,-9.173178,38.983207
Lacerta,-9.173398,39.073317
Lacerta,-9.173619,39.163426
Lacerta,-9.057726,38.983321
Lacerta,-9.057799,39.073431
Lacerta,-9.057947,39.253648
Lacerta,-8.717021,37.541036
Lacerta,-8.715992,37.811427
Lacerta,-8.603831,37.540711
Lacerta,-8.603353,37.630841
Lacerta,-8.602873,37.720971
Lacerta,-8.718036,37.270632
Lacerta,-8.717699,37.360768
Lacerta,-8.717361,37.450903
Lacerta,-8.605252,37.27031
Lacerta,-8.604781,37.360445
Lacerta,-8.604307,37.450578
