X,X_WGS84,Y_WGS84,Lacerta
251,-3.9264798928,40.0775034512,0
252,-3.9102621215,36.765275636,0
255,-0.5121991517,40.3228967789,0
257,-0.8381017566,40.724438869,0
258,-6.0610940967,38.4915080315,0
259,-1.4804332567,40.7653363972,0
260,-6.2772895786,36.7157210667,0
261,-3.009141125,38.7083012525,0
263,-3.9904986565,41.7441368581,0
266,-3.2586186668,42.3126054627,0
267,-2.3960928222,42.0129522741,0
268,-2.62130632,41.4369762269,0
269,-0.5021934411,39.2285442705,0
271,-4.802291947,41.6359511199,0
272,-7.4012893477,37.4556255058,0
280,-3.9587306631,36.9485991091,0
281,3.0940553869,42.3464617563,0
282,-1.479383128,37.6479983006,0
286,-2.7144562307,40.7646182566,0
287,-5.8145022745,39.3461046346,0
288,-6.506555697,36.99577042,0
289,-1.2336228893,39.6669569577,0
290,1.3730309868,41.278212398,0
291,-3.9783493863,38.0089345625,0
293,-6.7052281512,39.244136111,0
295,-6.2490925412,37.2608207154,0
297,-1.9729183375,40.8152347461,0
298,-7.317719,39.331613,1
299,-7.315555,39.421679,1
300,-7.204053,39.239817,1
301,-6.711343,40.132044,1
302,-9.183864,42.946721,1
303,-9.184132,43.036769,1
304,-9.061289,42.946853,1
305,-9.061378,43.036901,1
306,-9.061468,43.126948,1
307,-9.060935,42.586646,1
308,-9.061111,42.766752,1
309,-9.0612,42.856803,1
310,-8.818757,42.046165,1
311,-8.818501,42.136227,1
312,-8.817984,42.316347,1
313,-8.697502,42.135972,1
314,-8.697072,42.226032,1
315,-8.696641,42.31609,1
316,-8.696207,42.406147,1
317,-8.576505,42.135589,1
318,-8.575299,42.315705,1
319,-8.574693,42.405761,1
320,-8.454738,42.225136,1
321,-8.453961,42.315191,1
322,-8.453179,42.405245,1
323,-8.819013,41.956101,1
324,-8.335461,42.044384,1
325,-8.332626,42.314549,1
326,-8.331674,42.40462,1
327,-8.214646,42.043621,1
328,-8.213534,42.133675,1
329,-8.212417,42.223728,1
330,-8.211295,42.313779,1
331,-8.210168,42.403829,1
332,-8.093835,42.042731,1
333,-8.092553,42.132782,1
334,-8.091264,42.222832,1
335,-7.973031,42.041713,1
336,-7.971577,42.131761,1
337,-7.970117,42.221808,1
338,-7.96865,42.311853,1
339,-7.850609,42.130613,1
340,-7.848977,42.220656,1
341,-7.847338,42.310698,1
342,-7.845691,42.400738,1
343,-8.216854,41.863508,1
344,-8.215752,41.953565,1
345,-8.097648,41.772568,1
346,-8.096383,41.862624,1
347,-8.095112,41.952678,1
348,-7.975918,41.861613,1
349,-7.974478,41.951664,1
350,-7.85546,41.860475,1
351,-7.85385,41.950523,1
352,-8.938713,42.946853,1
353,-8.938624,43.036901,1
354,-8.938534,43.126948,1
355,-8.938443,43.216993,1
356,-8.938352,43.307037,1
357,-8.815869,43.036769,1
358,-8.815599,43.126816,1
359,-8.815328,43.216861,1
360,-8.815056,43.306904,1
361,-8.692666,43.126552,1
362,-8.692215,43.216596,1
363,-8.570992,42.946065,1
364,-8.570365,43.036111,1
365,-8.569736,43.126155,1
366,-8.569103,43.216198,1
367,-8.568468,43.30624,1
368,-8.448423,42.94554,1
369,-8.447617,43.035584,1
370,-8.446808,43.125627,1
371,-8.445995,43.215668,1
372,-8.445178,43.305708,1
373,-8.939067,42.586646,1
374,-8.938979,42.6767,1
375,-8.938891,42.766752,1
376,-8.938802,42.856803,1
377,-8.817463,42.496461,1
378,-8.816936,42.676569,1
379,-8.816405,42.856672,1
380,-8.695772,42.496203,1
381,-8.695334,42.586257,1
382,-8.694895,42.676309,1
383,-8.694453,42.766361,1
384,-8.574083,42.495815,1
385,-8.57347,42.585868,1
386,-8.572237,42.765969,1
387,-8.571616,42.856018,1
388,-8.450818,42.675399,1
389,-8.450023,42.765448,1
390,-8.325858,42.944884,1
391,-8.323884,43.124967,1
392,-8.32289,43.215006,1
393,-8.321891,43.305044,1
394,-8.200964,43.124174,1
395,-8.199789,43.214211,1
396,-8.079399,43.033215,1
397,-8.07805,43.12325,1
398,-8.076695,43.213284,1
399,-8.075333,43.303316,1
400,-7.958192,42.942128,1
401,-7.95667,43.032162,1
402,-7.953608,43.212243,1
403,-7.952063,43.302253,1
404,-7.83565,42.940947,1
405,-7.832242,43.121025,1
406,-7.830523,43.211032,1
407,-7.8288,43.301057,1
408,-8.330713,42.494652,1
409,-8.329752,42.584701,1
410,-8.327814,42.764796,1
411,-8.209036,42.493877,1
412,-8.207899,42.583924,1
413,-8.206756,42.673969,1
414,-8.205608,42.764013,1
415,-8.204455,42.854056,1
416,-8.087363,42.492973,1
417,-7.961215,42.762057,1
418,-7.959707,42.852093,1
419,-7.842375,42.580814,1
420,-7.839028,42.760883,1
421,-8.320888,43.39508,1
422,-8.318868,43.575148,1
423,-8.197424,43.39428,1
424,-8.195037,43.574343,1
425,-8.073965,43.393347,1
426,-8.072591,43.483376,1
427,-8.071211,43.573404,1
428,-8.069824,43.663431,1
429,-7.950513,43.39228,1
430,-7.948956,43.482307,1
431,-7.947391,43.572331,1
432,-7.94582,43.662354,1
433,-7.944241,43.752376,1
434,-7.827068,43.391081,1
435,-7.825328,43.481103,1
436,-7.821823,43.661143,1
437,-7.820058,43.751161,1
438,-6.825755,40.224332,1
439,-6.822869,40.314358,1
440,-6.708315,40.222065,1
441,-6.705274,40.312084,1
442,-6.702218,40.402101,1
443,-7.731443,42.039297,1
444,-7.727844,42.219377,1
445,-7.726032,42.309414,1
446,-7.61066,42.037898,1
447,-7.604735,42.308002,1
448,-7.602742,42.398034,1
449,-7.489887,42.036373,1
450,-7.48775,42.126404,1
451,-7.485604,42.216434,1
452,-7.481281,42.396489,1
453,-7.369124,42.03472,1
454,-7.366816,42.124746,1
455,-7.364498,42.21477,1
456,-7.36217,42.304794,1
457,-7.245893,42.122961,1
458,-7.243403,42.21298,1
459,-7.240902,42.302997,1
460,-7.23839,42.393013,1
461,-7.735009,41.859212,1
462,-7.614566,41.857822,1
463,-7.612617,41.947861,1
464,-7.494132,41.856305,1
465,-7.492014,41.94634,1
466,-7.373707,41.854663,1
467,-7.371421,41.944692,1
468,-7.253293,41.852894,1
469,-7.250837,41.942918,1
470,-7.127629,42.031033,1
471,-7.12498,42.121048,1
472,-7.12232,42.211061,1
473,-7.006899,42.029,1
474,-7.00408,42.119008,1
475,-7.001248,42.209014,1
476,-6.998403,42.299019,1
477,-6.995545,42.389023,1
478,-6.886182,42.026839,1
479,-6.883193,42.11684,1
480,-6.88019,42.20684,1
481,-6.877172,42.296838,1
482,-6.874142,42.386835,1
483,-6.762319,42.114546,1
484,-6.759145,42.204538,1
485,-6.755956,42.294529,1
486,-6.64479,42.022137,1
487,-6.64146,42.112124,1
488,-6.638115,42.202109,1
