long,lat
-7.317719,39.331613
-7.315555,39.421679
-7.204053,39.239817
-6.711343,40.132044
-9.183864,42.946721
-9.184132,43.036769
-9.061289,42.946853
-9.061378,43.036901
-9.061468,43.126948
-9.060935,42.586646
-9.061111,42.766752
-9.0612,42.856803
-8.818757,42.046165
-8.818501,42.136227
-8.817984,42.316347
-8.697502,42.135972
-8.697072,42.226032
-8.696641,42.31609
-8.696207,42.406147
-8.576505,42.135589
-8.575299,42.315705
-8.574693,42.405761
-8.454738,42.225136
-8.453961,42.315191
-8.453179,42.405245
-8.819013,41.956101
-8.335461,42.044384
-8.332626,42.314549
-8.331674,42.40462
-8.214646,42.043621
-8.213534,42.133675
-8.212417,42.223728
-8.211295,42.313779
-8.210168,42.403829
-8.093835,42.042731
-8.092553,42.132782
-8.091264,42.222832
-7.973031,42.041713
-7.971577,42.131761
-7.970117,42.221808
-7.96865,42.311853
-7.850609,42.130613
-7.848977,42.220656
-7.847338,42.310698
-7.845691,42.400738
-8.216854,41.863508
-8.215752,41.953565
-8.097648,41.772568
-8.096383,41.862624
-8.095112,41.952678
-7.975918,41.861613
-7.974478,41.951664
-7.85546,41.860475
-7.85385,41.950523
-8.938713,42.946853
-8.938624,43.036901
-8.938534,43.126948
-8.938443,43.216993
-8.938352,43.307037
-8.815869,43.036769
-8.815599,43.126816
-8.815328,43.216861
-8.815056,43.306904
-8.692666,43.126552
-8.692215,43.216596
-8.570992,42.946065
-8.570365,43.036111
-8.569736,43.126155
-8.569103,43.216198
-8.568468,43.30624
-8.448423,42.94554
-8.447617,43.035584
-8.446808,43.125627
-8.445995,43.215668
-8.445178,43.305708
-8.939067,42.586646
-8.938979,42.6767
-8.938891,42.766752
-8.938802,42.856803
-8.817463,42.496461
-8.816936,42.676569
-8.816405,42.856672
-8.695772,42.496203
-8.695334,42.586257
-8.694895,42.676309
-8.694453,42.766361
-8.574083,42.495815
-8.57347,42.585868
-8.572237,42.765969
-8.571616,42.856018
-8.450818,42.675399
-8.450023,42.765448
-8.325858,42.944884
-8.323884,43.124967
-8.32289,43.215006
-8.321891,43.305044
-8.200964,43.124174
-8.199789,43.214211
-8.079399,43.033215
-8.07805,43.12325
-8.076695,43.213284
-8.075333,43.303316
-7.958192,42.942128
-7.95667,43.032162
-7.953608,43.212243
-7.952063,43.302253
-7.83565,42.940947
-7.832242,43.121025
-7.830523,43.211032
-7.8288,43.301057
-8.330713,42.494652
-8.329752,42.584701
-8.327814,42.764796
-8.209036,42.493877
-8.207899,42.583924
-8.206756,42.673969
-8.205608,42.764013
-8.204455,42.854056
-8.087363,42.492973
-7.961215,42.762057
-7.959707,42.852093
-7.842375,42.580814
-7.839028,42.760883
-8.320888,43.39508
-8.318868,43.575148
-8.197424,43.39428
-8.195037,43.574343
-8.073965,43.393347
-8.072591,43.483376
-8.071211,43.573404
-8.069824,43.663431
-7.950513,43.39228
-7.948956,43.482307
-7.947391,43.572331
-7.94582,43.662354
-7.944241,43.752376
-7.827068,43.391081
-7.825328,43.481103
-7.821823,43.661143
-7.820058,43.751161
-6.825755,40.224332
-6.822869,40.314358
-6.708315,40.222065
-6.705274,40.312084
-6.702218,40.402101
-7.731443,42.039297
-7.727844,42.219377
-7.726032,42.309414
-7.61066,42.037898
-7.604735,42.308002
-7.602742,42.398034
-7.489887,42.036373
-7.48775,42.126404
-7.485604,42.216434
-7.481281,42.396489
-7.369124,42.03472
-7.366816,42.124746
-7.364498,42.21477
-7.36217,42.304794
-7.245893,42.122961
-7.243403,42.21298
-7.240902,42.302997
-7.23839,42.393013
-7.735009,41.859212
-7.614566,41.857822
-7.612617,41.947861
-7.494132,41.856305
-7.492014,41.94634
-7.373707,41.854663
-7.371421,41.944692
-7.253293,41.852894
-7.250837,41.942918
-7.127629,42.031033
-7.12498,42.121048
-7.12232,42.211061
-7.006899,42.029
-7.00408,42.119008
-7.001248,42.209014
-6.998403,42.299019
-6.995545,42.389023
-6.886182,42.026839
-6.883193,42.11684
-6.88019,42.20684
-6.877172,42.296838
-6.874142,42.386835
-6.762319,42.114546
-6.759145,42.204538
-6.755956,42.294529
-6.64479,42.022137
-6.64146,42.112124
-6.638115,42.202109
-6.634754,42.292092
-7.130266,41.941017
-7.009706,41.93899
-6.889158,41.936836
-6.768625,41.934556
-6.648106,41.932149
-7.713115,42.939635
-7.711236,43.029661
-7.709348,43.119685
-7.707451,43.209707
-7.705545,43.299728
-7.59059,42.938192
-7.588531,43.028213
-7.586464,43.118232
-7.584386,43.20825
-7.463589,43.116648
-7.340725,43.114932
-7.223072,42.933076
-7.220478,43.023081
-7.722384,42.489485
-7.720547,42.579518
-7.718702,42.669549
-7.714986,42.849608
-7.60074,42.488064
-7.472516,42.756581
-7.352748,42.66487
-7.235866,42.483027
-7.233331,42.57304
-7.230784,42.663051
-7.228225,42.753061
-7.100589,42.931108
-7.097816,43.021107
-7.09503,43.111104
-7.092232,43.2011
-7.08942,43.291094
-6.978118,42.92901
-6.975167,43.019002
-6.972202,43.108993
-6.969223,43.198982
-6.966231,43.288969
-6.855662,42.92678
-6.852532,43.016766
-6.849388,43.10675
-6.846229,43.196732
-6.843055,43.286712
-6.733219,42.92442
-6.729911,43.014398
-6.610792,42.921929
-6.607305,43.011899
-6.600284,43.191835
-6.596749,43.2818
-7.111554,42.571097
-7.108831,42.661102
-7.103349,42.841108
-6.989789,42.569025
-6.983981,42.74902
-6.981056,42.839016
-6.871097,42.47683
-6.864965,42.656815
-6.861878,42.746805
-6.858777,42.836794
-6.73979,42.74446
-6.736512,42.834441
-6.627986,42.472054
-6.624578,42.562032
-6.621155,42.652009
-6.617717,42.741984
-6.614262,42.831957
-7.701708,43.479766
-7.697834,43.659798
-7.695884,43.749812
-7.575981,43.568308
-7.452195,43.566698
-7.333377,43.384951
-7.086596,43.381087
-7.083758,43.471078
-7.080907,43.561067
-6.960204,43.46894
-6.95717,43.558922
-6.839867,43.376691
-6.83667,43.466668
-6.586046,43.551685
-6.590889,40.219679
-6.587692,40.30969
-6.58448,40.3997
-6.470124,40.307178
-6.466757,40.397179
-6.463374,40.48718
-6.352572,40.304545
-6.349048,40.394539
-6.345509,40.484531
-6.227659,40.481762
-6.223946,40.571743
-6.109827,40.478873
-6.105957,40.568845
