SPECIES,X,Y
Lacerta_schreiberi,-7.821823,43.661143
Lacerta_schreiberi,-7.820058,43.751161
Lacerta_schreiberi,-6.825755,40.224332
Lacerta_schreiberi,-6.822869,40.314358
Lacerta_schreiberi,-6.708315,40.222065
Lacerta_schreiberi,-6.705274,40.312084
Lacerta_schreiberi,-6.702218,40.402101
Lacerta_schreiberi,-7.731443,42.039297
Lacerta_schreiberi,-7.727844,42.219377
Lacerta_schreiberi,-7.726032,42.309414
Lacerta_schreiberi,-7.61066,42.037898
Lacerta_schreiberi,-7.604735,42.308002
Lacerta_schreiberi,-7.602742,42.398034
Lacerta_schreiberi,-7.489887,42.036373
Lacerta_schreiberi,-7.48775,42.126404
Lacerta_schreiberi,-7.485604,42.216434
Lacerta_schreiberi,-7.481281,42.396489
Lacerta_schreiberi,-7.369124,42.03472
Lacerta_schreiberi,-7.366816,42.124746
Lacerta_schreiberi,-7.364498,42.21477
Lacerta_schreiberi,-7.36217,42.304794
Lacerta_schreiberi,-7.245893,42.122961
Lacerta_schreiberi,-7.243403,42.21298
Lacerta_schreiberi,-7.240902,42.302997
Lacerta_schreiberi,-7.23839,42.393013
Lacerta_schreiberi,-7.735009,41.859212
Lacerta_schreiberi,-7.614566,41.857822
Lacerta_schreiberi,-7.612617,41.947861
Lacerta_schreiberi,-7.494132,41.856305
Lacerta_schreiberi,-7.492014,41.94634
Lacerta_schreiberi,-7.373707,41.854663
Lacerta_schreiberi,-7.371421,41.944692
Lacerta_schreiberi,-7.253293,41.852894
Lacerta_schreiberi,-7.250837,41.942918
Lacerta_schreiberi,-7.127629,42.031033
Lacerta_schreiberi,-7.12498,42.121048
Lacerta_schreiberi,-7.12232,42.211061
Lacerta_schreiberi,-7.006899,42.029
Lacerta_schreiberi,-7.00408,42.119008
Lacerta_schreiberi,-7.001248,42.209014
Lacerta_schreiberi,-6.998403,42.299019
Lacerta_schreiberi,-6.995545,42.389023
Lacerta_schreiberi,-6.886182,42.026839
Lacerta_schreiberi,-6.883193,42.11684
Lacerta_schreiberi,-6.88019,42.20684
Lacerta_schreiberi,-6.877172,42.296838
Lacerta_schreiberi,-6.874142,42.386835
Lacerta_schreiberi,-6.762319,42.114546
Lacerta_schreiberi,-6.759145,42.204538
Lacerta_schreiberi,-6.755956,42.294529
Lacerta_schreiberi,-6.64479,42.022137
Lacerta_schreiberi,-6.64146,42.112124
