species,x,y,occ
species1,1.8577409073,42.5774001727,1
species1,2.1578351209,42.4335267458,1
species1,1.9578158212,42.5753263607,1
species1,1.9404633797,42.5859111514,1
species1,1.7664398676,42.4824749944,1
species1,1.7846927435,42.4892758285,1
species1,1.934649998,42.5653053119,1
species1,1.9176245928,42.5403152094,1
species1,1.7487738862,42.491288192,1
species1,1.9741182407,42.6120381352,1
species1,2.1221405285,42.3913090147,1
species1,1.7597519678,42.5150844072,1
species1,1.7377579009,42.4805779284,1
species1,1.8033670969,42.4833419313,1
species1,2.1359695787,42.4093747269,1
species1,1.7683841925,42.5248583197,1
species1,2.1408293507,42.4371757184,1
species1,1.8791597432,42.5819523887,1
species1,1.66485246,42.4680632578,1
species1,1.5839952311,42.4411108481,1
species1,1.6402782041,42.4577579247,1
species1,1.7203427151,42.2762255186,1
species1,1.7060737924,42.2746400827,1
species1,1.6624743062,42.2754328006,1
species1,1.6371073324,42.2817745441,1
species1,1.6228384097,42.2809818261,1
species1,1.8963260958,42.3158614151,1
species1,1.9113877364,42.317446851,1
species1,2.1032254757,42.3721443882,1
species1,2.1365196288,42.4569652068,1
species1,1.7354043558,42.4379399764,1
species1,1.7266844586,42.4664778219,1
