x,y,species cloglog values
220.0,220.0,0.044493508
221.0,221.0,0.009311882
222.0,222.0,0.004152944
223.0,223.0,0.69774127
224.0,224.0,0.024416458
225.0,225.0,0.14450172
226.0,226.0,0.5429921
227.0,227.0,0.051218525
228.0,228.0,0.79959255
229.0,229.0,0.053764552
230.0,230.0,0.2808792
231.0,231.0,3.0488134E-4
232.0,232.0,0.0035020758
233.0,233.0,0.4970697
234.0,234.0,0.16358152
235.0,235.0,0.06235279
236.0,236.0,1.9546138E-4
237.0,237.0,0.0046863365
238.0,238.0,0.14627036
239.0,239.0,0.821106
240.0,240.0,0.0036844725
241.0,241.0,0.0014370237
242.0,242.0,0.055688374
243.0,243.0,0.001316224
244.0,244.0,0.006230499
245.0,245.0,0.0032251365
246.0,246.0,0.09784064
247.0,247.0,0.016468309
248.0,248.0,0.0017231455
249.0,249.0,0.0013368967
250.0,250.0,0.014584131
251.0,251.0,0.009029515
252.0,252.0,0.0013322509
253.0,253.0,8.669732E-4
254.0,254.0,2.444581E-4
255.0,255.0,0.009893134
256.0,256.0,0.19537777
257.0,257.0,0.02655222
258.0,258.0,0.0027588264
259.0,259.0,0.7634191
260.0,260.0,0.0042136163
261.0,261.0,0.019317375
262.0,262.0,0.028086612
263.0,263.0,0.09192677
264.0,264.0,0.0030439093
265.0,265.0,0.0054054544
266.0,266.0,0.0065092673
267.0,267.0,7.4271295E-5
268.0,268.0,0.8355508
269.0,269.0,0.00274988
270.0,270.0,0.0029923732
271.0,271.0,0.015220889
272.0,272.0,0.10461221
273.0,273.0,0.7960847
274.0,274.0,0.082915545
275.0,275.0,0.012380628
276.0,276.0,0.4485834
277.0,277.0,7.877528E-4
278.0,278.0,0.33480707
279.0,279.0,0.0035937817
280.0,280.0,0.18602455
281.0,281.0,0.0022573404
282.0,282.0,0.08105214
283.0,283.0,0.06921947
284.0,284.0,0.14088698
285.0,285.0,0.005120555
286.0,286.0,0.17617185
287.0,287.0,3.0382146E-4
288.0,288.0,1.7499065E-4
289.0,289.0,0.11146051
290.0,290.0,0.0055284672
291.0,291.0,0.1241721
292.0,292.0,0.075095706
293.0,293.0,0.14991999
