X,Y,CENTROX,CENTROY,PM,XCOORD,YCOORD
-6.73136075669173,43.013226389958,196022.9843,4769254.193,1,-6.731361,43.013226
-6.60875321155387,43.010729058788,206003.9909,4768539.565,1,-6.608753,43.010729
-6.85084136488189,43.1055779481879,186756.2177,4779951.689,1,-6.850841,43.105578
-6.60173612569748,43.1906679046493,207435.4978,4788500.105,1,-6.601736,43.190668
-6.59820325188728,43.2806348553932,208153.0397,4798480.170,1,-6.598203,43.280635
-6.48982431528954,42.9181368387237,215269.9775,4757845.793,1,-6.489824,42.918137
-6.48616174015259,43.0081005229793,215983.8022,4767825.074,1,-6.486162,43.008101
-6.24103029775418,43.0024500347181,235939.8388,4766396.497,1,-6.241030,43.002450
-6.48248227122722,43.098062538116,216698.8223,4777804.218,1,-6.482482,43.098063
-6.3597287789253,43.0952942051392,226677.3034,4777088.669,1,-6.359729,43.095294
-6.23699309615144,43.0923943578787,236654.5910,4776373.253,1,-6.236993,43.092394
-6.35585258551753,43.1852458831664,227393.3822,4787066.485,1,-6.355853,43.185246
-6.23293726179317,43.1823369588665,237370.5368,4786349.877,1,-6.232937,43.182337
-6.35195848495727,43.2751958634342,228110.6529,4797044.168,1,-6.351958,43.275196
-6.22886269277745,43.2722778355626,238087.6745,4796326.369,1,-6.228863,43.272278
-6.10151113414215,43.3591571322129,248781.7027,4805583.872,1,-6.101511,43.359157
-6.09721675424204,43.449084983001,249501.0875,4815558.912,1,-6.097217,43.449085
-6.0929024890005,43.5390110749983,250221.6587,4825533.823,1,-6.092902,43.539011
-6.11427604592368,43.0893630503329,246630.6849,4775657.970,1,-6.114276,43.089363
-6.11004067247027,43.1792961635748,247346.4996,4785633.401,1,-6.110041,43.179296
-6.0163024124654,43.5359206261738,256315.0056,4825080.036,1,-6.016302,43.535921
-6.01409717926506,43.6256967123026,256856.3648,4835067.098,1,-6.014097,43.625697
-6.02286804892906,43.2663366709192,254696.3459,4795118.462,1,-6.022868,43.266337
-6.03149025486651,42.9066284853231,252550.6583,4755168.792,1,-6.031490,42.906628
-6.02934785413495,42.9965712947097,253085.7573,4765156.306,1,-6.029348,42.996571
-6.02503899048366,43.1764290402581,254158.6724,4785131.141,1,-6.025039,43.176429
-6.02719929240005,43.0865048500766,253621.6161,4775143.756,1,-6.027199,43.086505
-5.40824033661188,43.3706151687649,305000.0000,4805000.000,1,-5.408240,43.370615
-5.28491149416834,43.3731470426558,315000.0000,4805000.000,1,-5.284911,43.373147
-5.16156704197145,43.3755460170646,325000.0000,4805000.000,1,-5.161567,43.375546
-5.03820781944418,43.3778120470378,335000.0000,4805000.000,1,-5.038208,43.377812
-4.91483466664649,43.3799450901037,345000.0000,4805000.000,1,-4.914835,43.379945
-4.7914484242393,43.3819451062748,355000.0000,4805000.000,1,-4.791448,43.381945
-4.66804993344842,43.3838120580503,365000.0000,4805000.000,1,-4.668050,43.383812
-4.54464003602842,43.3855459104177,375000.0000,4805000.000,1,-4.544640,43.385546
-4.42121957422652,43.3871466308553,385000.0000,4805000.000,1,-4.421220,43.387147
-4.29778939074624,43.3886141893338,395000.0000,4805000.000,1,-4.297789,43.388614
-5.41181026815571,43.4605787515009,305000.0000,4815000.000,1,-5.411810,43.460579
-5.28829900449752,43.4631185477688,315000.0000,4815000.000,1,-5.288299,43.463119
-5.16477204506586,43.465525029313,325000.0000,4815000.000,1,-5.164772,43.465525
-5.04123023389382,43.467798150941,335000.0000,4815000.000,1,-5.041230,43.467798
-4.91767441565756,43.4699378699552,345000.0000,4815000.000,1,-4.917674,43.469938
-4.79410543563994,43.4719441461556,355000.0000,4815000.000,1,-4.794105,43.471944
-5.41539673895995,43.5505406798734,305000.0000,4825000.000,1,-5.415397,43.550541
-5.29170221072731,43.553088421801,315000.0000,4825000.000,1,-5.291702,43.553088
-4.17435032871119,43.389948558318,405000.0000,4805000.000,1,-4.174350,43.389949
-4.05090323162872,43.3911497127682,415000.0000,4805000.000,1,-4.050903,43.391150
-3.92744894335354,43.3922176301421,425000.0000,4805000.000,1,-3.927449,43.392218
-3.55705137436405,43.3946217718627,455000.0000,4805000.000,1,-3.557051,43.394622
-3.43357676553685,43.3951565654895,465000.0000,4805000.000,1,-3.433577,43.395157
-3.31009918872508,43.3955580468234,475000.0000,4805000.000,1,-3.310099,43.395558
-3.18661948910176,43.3958262083262,485000.0000,4805000.000,1,-3.186619,43.395826
-3.06313851193179,43.3959610449628,495000.0000,4805000.000,1,-3.063139,43.395961
-4.05246256122797,43.481177568278,415000.0000,4815000.000,1,-4.052463,43.481178
-3.92882515996644,43.4822488294027,425000.0000,4815000.000,1,-3.928825,43.482249
-3.80518137664784,43.4831864162625,435000.0000,4815000.000,1,-3.805181,43.483186
-3.68153206037057,43.4839903112196,445000.0000,4815000.000,1,-3.681532,43.483990
-3.55787806047333,43.4846604991495,455000.0000,4815000.000,1,-3.557878,43.484660
-3.43422022649825,43.4851969674426,465000.0000,4815000.000,1,-3.434220,43.485197
-2.93965710253532,43.3959625542013,505000.0000,4805000.000,1,-2.939657,43.395963
-2.81617610625122,43.3958307360133,515000.0000,4805000.000,1,-2.816176,43.395831
-2.69269636840048,43.3955655928739,525000.0000,4805000.000,1,-2.692696,43.395566
-2.56921873424966,43.3951671297615,535000.0000,4805000.000,1,-2.569219,43.395167
-2.44574404897424,43.3946353541576,545000.0000,4805000.000,1,-2.445744,43.394635
-1.82844442589353,43.3899772257628,595000.0000,4805000.000,1,-1.828444,43.389977
-2.81590328902225,43.4858732491237,515000.0000,4815000.000,1,-2.815903,43.485873
-5.38370639108537,42.7408239064887,305000.0000,4735000.000,1,-5.383706,42.740824
-4.28455727397063,42.7584331422542,395000.0000,4735000.000,1,-4.284557,42.758433
-5.38716304607309,42.8307990233687,305000.0000,4745000.000,1,-5.387163,42.830799
-5.14264439773826,42.8356382315639,325000.0000,4745000.000,1,-5.142644,42.835638
-5.02036322476123,42.8378621424171,335000.0000,4745000.000,1,-5.020363,42.837862
-4.77576124668877,42.841918371895,355000.0000,4745000.000,1,-4.775761,42.841918
-4.53111185292372,42.845452232175,375000.0000,4745000.000,1,-4.531112,42.845452
-5.39063562060002,42.9207724975103,305000.0000,4755000.000,1,-5.390636,42.920772
-5.02330318798673,42.9278577489135,335000.0000,4755000.000,1,-5.023303,42.927858
-4.90083084356222,42.9299577025743,345000.0000,4755000.000,1,-4.900831,42.929958
-4.77834576201988,42.9319266909066,355000.0000,4755000.000,1,-4.778346,42.931927
-4.65584876198369,42.9337646773867,365000.0000,4755000.000,1,-4.655849,42.933765
-4.41082228341247,42.9370475108173,385000.0000,4755000.000,1,-4.410822,42.937048
-4.2882944445086,42.9384922968476,395000.0000,4755000.000,1,-4.288294,42.938492
-5.39412420113747,43.0107443272418,305000.0000,4765000.000,1,-5.394124,43.010744
-5.14889392950906,43.0156139054811,325000.0000,4765000.000,1,-5.148894,43.015614
-5.02625670652537,43.017851774816,335000.0000,4765000.000,1,-5.026257,43.017852
-4.78094219594317,43.0219334660012,355000.0000,4765000.000,1,-4.780942,43.021933
