X,Y,CENTROX,CENTROY,EA,XCOORD,YCOORD
0.872835059082215,42.3857422324695,818933.6963,4700085.911,1,0.872835,42.385742
0.994240566346134,42.3879314868506,828918.0882,4700792.409,1,0.994241,42.387931
1.11565919702182,42.3899922481746,838903.6880,4701499.050,1,1.115659,42.389992
1.47998590642286,42.3954032091144,868867.7344,4703619.849,1,1.479986,42.395403
1.72292146167493,42.3983674224,888849.8047,4705034.463,1,1.722921,42.398367
2.33699035538694,41.7731175191456,943754.1785,4638581.764,1,2.336990,41.773118
2.45730390188952,41.7737488586707,953754.2105,4639281.597,1,2.457304,41.773749
2.33606071023781,41.8631801154846,943053.8172,4648581.103,1,2.336061,41.863180
2.45654293299719,41.8638134419998,953053.6856,4649282.155,1,2.456543,41.863813
2.57702863482686,41.8643203803021,963054.7728,4649983.372,1,2.577029,41.864320
1.85257060802979,41.9494324113358,902365.5872,4655772.806,1,1.852571,41.949432
2.45577848554351,41.9538765991986,952351.9420,4659282.550,1,2.455778,41.953877
2.57643365304633,41.9543851324253,962352.8639,4659984.985,1,2.576434,41.954385
2.21337105208877,42.0425365228368,931651.1140,4667875.969,1,2.213371,42.042537
2.33418864901466,42.0433010127627,941649.4401,4668579.293,1,2.334189,42.043301
2.4550105410761,42.0439383298275,951648.9814,4669282.780,1,2.455011,42.043938
2.57583594933362,42.0444484624552,961649.7379,4669986.431,1,2.575836,42.044448
1.84932562396652,42.1295264546158,900960.0509,4675760.950,1,1.849326,42.129526
1.97029654761858,42.1306759728219,910954.5752,4676465.011,1,1.970297,42.130676
2.09127413786628,42.1316979673119,920950.3127,4677169.229,1,2.091274,42.131698
2.21225761209381,42.1325924193848,930947.2636,4677873.606,1,2.212258,42.132592
2.33324618753475,42.1333593127779,940945.4279,4678578.144,1,2.333246,42.133359
2.45423908098113,42.1339986334487,950944.8056,4679282.845,1,2.454239,42.133999
2.69623468912386,42.1348945126569,970947.2012,4680692.742,1,2.696235,42.134895
1.84769197853304,42.2195712762602,900255.4620,4685754.789,1,1.847692,42.219571
1.96883456950883,42.2207244067806,910249.8298,4686460.062,1,1.968835,42.220724
2.08998386283129,42.2217496129184,920245.4091,4687165.492,1,2.089984,42.221750
2.21113907137638,42.2226468759465,930242.2000,4687871.082,1,2.211139,42.222647
2.33229940843834,42.2234161794318,940240.2024,4688576.832,1,2.332299,42.223416
2.45346408665777,42.224057509417,950239.4164,4689282.746,1,2.453464,42.224058
2.69580331642005,42.2249562041786,970241.4794,4690695.068,1,2.695803,42.224956
1.84605084461635,42.309614630283,899549.6616,4695748.472,1,1.846051,42.309615
1.96736588967135,42.3107713832752,909543.8730,4696454.956,1,1.967366,42.310771
2.08868767266217,42.3117998101307,919539.2940,4697161.597,1,2.088688,42.311800
2.21001540277931,42.3126998920095,929535.9248,4697868.397,1,2.210015,42.312700
2.33134828875068,42.3134716124042,939533.7653,4698575.358,1,2.331348,42.313472
2.45268553899054,42.3141149572733,949532.8157,4699282.482,1,2.452686,42.314115
2.57402636203977,42.3146299147859,959533.0758,4699989.771,1,2.574026,42.314630
2.6953699659199,42.3150164756138,969534.5458,4700697.225,1,2.695370,42.315016
1.84440218223001,42.3996565158814,898842.6516,4705742.000,1,1.844402,42.399657
1.96589047190413,42.400816901617,908836.7064,4706449.692,1,1.965890,42.400817
2.20888657871406,42.4027514669434,928828.4399,4707865.551,1,2.208887,42.402751
2.33039697408201,42.4035349421861,938826.1185,4708575.782,1,2.330397,42.403535
2.4518992495496,42.4041802191296,948824.8738,4709282.054,1,2.451899,42.404180
2.69493462692023,42.4050753265286,968826.4025,4710699.215,1,2.694935,42.405075
2.81645362854864,42.4053342943352,978828.9133,4711408.047,1,2.816454,42.405334
0.039303742032824,42.4568932567758,750111.9909,4705230.247,1,0.039304,42.456893
0.037201627339203,42.5468649535552,749580.7526,4715218.086,1,0.037202,42.546865
0.035096864811815,42.636832364726,749049.2368,4725205.859,1,0.035097,42.636832
0.032979332296477,42.7267948870164,748516.7235,4735193.568,1,0.032979,42.726795
0.045531184289011,42.1869613709132,751697.3838,4675266.343,1,0.045531,42.186961
