X,Y,CENTROX,CENTROY,EA,XCOORD,YCOORD
-0.979469439301631,42.9279067394068,665000.0000,4755000.000,1,-0.979469,42.927907
-0.857010334559074,42.9256788230105,675000.0000,4755000.000,1,-0.857010,42.925679
-0.734565584054415,42.9233200206315,685000.0000,4755000.000,1,-0.734566,42.923320
-0.612136004706562,42.9208303759977,695000.0000,4755000.000,1,-0.612136,42.920830
-1.71260221504057,43.0285509366431,605000.0000,4765000.000,1,-1.712602,43.028551
-1.58989536055589,43.0271046000997,615000.0000,4765000.000,1,-1.589895,43.027105
-1.4671979987309,43.0255267554176,625000.0000,4765000.000,1,-1.467198,43.025527
-1.34451095407185,43.0238174319421,635000.0000,4765000.000,1,-1.344511,43.023817
-1.22183505064645,43.0219766614593,645000.0000,4765000.000,1,-1.221835,43.021977
-1.09917111204899,43.0200044781936,655000.0000,4765000.000,1,-1.099171,43.020004
-0.976519961365493,43.0179009188061,665000.0000,4765000.000,1,-0.976520,43.017901
-1.71071607509298,43.1185768999157,605000.0000,4775000.000,1,-1.710716,43.118577
-1.58782958451513,43.1171260314866,615000.0000,4775000.000,1,-1.587830,43.117126
-1.46495263847169,43.1155432430998,625000.0000,4775000.000,1,-1.464953,43.115543
-1.34208606596746,43.1138285642561,635000.0000,4775000.000,1,-1.342086,43.113829
-1.21923069556452,43.1119820269093,645000.0000,4775000.000,1,-1.219231,43.111982
-1.58575426388267,43.2071459639264,615000.0000,4785000.000,1,-1.585754,43.207146
-1.46269690460997,43.2055582174699,625000.0000,4785000.000,1,-1.462697,43.205558
-1.33964997569247,43.2038381676993,635000.0000,4785000.000,1,-1.339650,43.203838
-1.4604307403291,43.2955716776922,625000.0000,4795000.000,1,-1.460431,43.295572
-0.996884575490282,42.3879085249041,665000.0000,4695000.000,1,-0.996885,42.387909
-0.875479068498026,42.3857220713015,675000.0000,4695000.000,1,-0.875479,42.385722
-0.754087459180941,42.3834071644282,685000.0000,4695000.000,1,-0.754087,42.383407
-0.632710538562985,42.3809638466595,695000.0000,4695000.000,1,-0.632711,42.380964
-0.03563810789953,42.7267941970224,742900.3160,4735000.000,1,-0.035638,42.726794
-0.037751804266661,42.6368316813958,743077.7688,4725000.000,1,-0.037752,42.636832
-0.046101943387048,42.2769406617958,743784.9059,4685000.000,1,-0.046102,42.276941
-0.493368342683791,42.8282444645985,705000.0000,4745000.000,1,-0.493368,42.828244
