species,x,y
Podarcis bocagei,587827.397317,4631576.653605
Podarcis bocagei,587821.261613,4631622.272984
Timon lepidus,587734.804552,4631749.971539
Podarcis bocagei,587800.208709,4631641.537613
Lacerta schreiberi,587821.541841,4631640.228910
Podarcis bocagei,587821.613400,4631641.683695
Podarcis bocagei,587821.589346,4631641.627500
Timon lepidus,587827.740806,4631582.423625
Podarcis bocagei,587838.073859,4631574.112247
Podarcis bocagei,587812.735864,4631592.379267
Timon lepidus,587801.988153,4631566.519064
Podarcis hispanica,587805.574776,4631565.183979
Podarcis bocagei,587807.115338,4631563.771907
Timon lepidus,587792.928297,4631556.119081
Podarcis bocagei,587772.637964,4631539.549494
Podarcis hispanica,587806.193200,4631555.556462
Podarcis bocagei,587802.865385,4631551.585949
Podarcis bocagei,587805.491227,4631579.211795
Podarcis bocagei,587812.022664,4631587.375001
Podarcis bocagei,587820.260089,4631597.132457
Podarcis bocagei,587734.639166,4631750.163178
Podarcis bocagei,587742.802090,4631713.996340
Podarcis bocagei,587823.733023,4631615.823958
Podarcis bocagei,587827.075514,4631593.719139
Podarcis bocagei,587826.928966,4631593.492421
Podarcis hispanica,587803.395313,4631567.647271
Podarcis bocagei,587794.405999,4631556.578131
Timon lepidus,587807.271376,4631560.679796
Podarcis bocagei,587809.468041,4631563.201954
Podarcis hispanica,587804.045123,4631564.265268
Podarcis hispanica,587805.087601,4631567.011270
Lacerta schreiberi,587737.112241,4631732.615129
