X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-8.076695,43.213284,train,Infinity,100.0,NaN
-7.958192,42.942128,train,Infinity,100.0,NaN
-7.95667,43.032162,train,Infinity,100.0,NaN
-7.95514,43.122194,train,Infinity,100.0,NaN
-7.953608,43.212243,train,Infinity,100.0,NaN
-7.952063,43.302253,train,Infinity,100.0,NaN
-7.83565,42.940947,train,Infinity,100.0,NaN
-7.832242,43.121025,train,Infinity,100.0,NaN
-7.830523,43.211032,train,Infinity,100.0,NaN
-8.330713,42.494652,train,Infinity,100.0,NaN
-8.329752,42.584701,train,Infinity,100.0,NaN
-8.328785,42.674749,train,Infinity,100.0,NaN
-8.327814,42.764796,train,Infinity,100.0,NaN
-8.326838,42.854841,train,Infinity,100.0,NaN
-8.209036,42.493877,train,Infinity,100.0,NaN
-8.207899,42.583924,train,Infinity,100.0,NaN
-8.206756,42.673969,train,Infinity,100.0,NaN
-8.205608,42.764013,train,Infinity,100.0,NaN
-8.087363,42.492973,train,Infinity,100.0,NaN
-8.086051,42.583017,train,Infinity,100.0,NaN
-8.084733,42.673059,train,Infinity,100.0,NaN
-8.083408,42.7631,train,Infinity,100.0,NaN
-8.082078,42.85314,train,Infinity,100.0,NaN
-7.965697,42.491939,train,Infinity,100.0,NaN
-7.964209,42.58198,train,Infinity,100.0,NaN
-7.962715,42.672019,train,Infinity,100.0,NaN
-7.959707,42.852093,train,Infinity,100.0,NaN
-7.844036,42.490776,train,Infinity,100.0,NaN
-7.842375,42.580814,train,Infinity,100.0,NaN
-7.839028,42.760883,train,Infinity,100.0,NaN
-7.837343,42.850916,train,Infinity,100.0,NaN
-8.197424,43.39428,train,Infinity,100.0,NaN
-8.195037,43.574343,train,Infinity,100.0,NaN
-8.073965,43.393347,train,Infinity,100.0,NaN
-8.072591,43.483376,train,Infinity,100.0,NaN
-8.071211,43.573404,train,Infinity,100.0,NaN
-8.069824,43.663431,train,Infinity,100.0,NaN
-7.950513,43.39228,train,Infinity,100.0,NaN
-7.948956,43.482307,train,Infinity,100.0,NaN
-7.947391,43.572331,train,Infinity,100.0,NaN
-7.94582,43.662354,train,Infinity,100.0,NaN
-7.827068,43.391081,train,Infinity,100.0,NaN
-7.825328,43.481103,train,Infinity,100.0,NaN
-7.823579,43.571124,train,Infinity,100.0,NaN
-7.821823,43.661143,train,Infinity,100.0,NaN
-6.825755,40.224332,train,19.869679839332697,100.0,0.9990155663243258
-6.822869,40.314358,train,222.23843834923392,100.0,0.9999119057345697
-6.708315,40.222065,train,0.013439405515911395,47.63161652329987,0.4070195989881126
-6.705274,40.312084,train,6.253961651546924,100.0,0.9968790104552118
-7.731443,42.039297,train,Infinity,100.0,NaN
-7.727844,42.219377,train,Infinity,100.0,NaN
-7.726032,42.309414,train,Infinity,100.0,NaN
-7.724212,42.39945,train,Infinity,100.0,NaN
-7.61066,42.037898,train,Infinity,100.0,NaN
-7.606719,42.217969,train,Infinity,100.0,NaN
-7.602742,42.398034,train,Infinity,100.0,NaN
-7.489887,42.036373,train,Infinity,100.0,NaN
-7.48775,42.126404,train,Infinity,100.0,NaN
-7.485604,42.216434,train,Infinity,100.0,NaN
-7.483448,42.306462,train,Infinity,100.0,NaN
-7.481281,42.396489,train,Infinity,100.0,NaN
-7.369124,42.03472,train,Infinity,100.0,NaN
-7.366816,42.124746,train,Infinity,100.0,NaN
-7.364498,42.21477,train,Infinity,100.0,NaN
-7.36217,42.304794,train,Infinity,100.0,NaN
-7.35983,42.394815,train,Infinity,100.0,NaN
-7.248371,42.03294,train,Infinity,100.0,NaN
-7.245893,42.122961,train,Infinity,100.0,NaN
-7.243403,42.21298,train,Infinity,100.0,NaN
-7.240902,42.302997,train,Infinity,100.0,NaN
-7.23839,42.393013,train,6.253961651546924,100.0,0.9968790104552118
-7.73323,41.949255,train,Infinity,100.0,NaN
-7.612617,41.947861,train,Infinity,100.0,NaN
-7.494132,41.856305,train,19.869679839332697,100.0,0.9990155663243258
-7.492014,41.94634,train,19.869679839332697,100.0,0.9990155663243258
-7.373707,41.854663,train,Infinity,100.0,NaN
-7.371421,41.944692,train,Infinity,100.0,NaN
-7.253293,41.852894,train,Infinity,100.0,NaN
-7.250837,41.942918,train,Infinity,100.0,NaN
-7.127629,42.031033,train,Infinity,100.0,NaN
-7.12232,42.211061,train,222.23843834923392,100.0,0.9999119057345697
-7.119647,42.301072,train,222.23843834923392,100.0,0.9999119057345697
-7.006899,42.029,train,Infinity,100.0,NaN
-7.00408,42.119008,train,Infinity,100.0,NaN
-7.001248,42.209014,train,Infinity,100.0,NaN
-6.998403,42.299019,train,222.23843834923392,100.0,0.9999119057345697
-6.995545,42.389023,train,222.23843834923392,100.0,0.9999119057345697
-6.886182,42.026839,train,Infinity,100.0,NaN
-6.883193,42.11684,train,Infinity,100.0,NaN
-6.88019,42.20684,train,Infinity,100.0,NaN
-6.877172,42.296838,train,Infinity,100.0,NaN
-6.874142,42.386835,train,69.94932390327139,100.0,0.999720166304801
-6.765479,42.024552,train,Infinity,100.0,NaN
-6.762319,42.114546,train,Infinity,100.0,NaN
-6.759145,42.204538,train,Infinity,100.0,NaN
-6.755956,42.294529,train,Infinity,100.0,NaN
-6.752752,42.384519,train,222.23843834923392,100.0,0.9999119057345697
-6.64479,42.022137,train,69.94932390327139,100.0,0.999720166304801
-6.64146,42.112124,train,69.94932390327139,100.0,0.999720166304801
-6.638115,42.202109,train,Infinity,100.0,NaN
-6.634754,42.292092,train,222.23843834923392,100.0,0.9999119057345697
-6.631378,42.382074,train,69.94932390327139,100.0,0.999720166304801
-7.009706,41.93899,train,Infinity,100.0,NaN
-6.889158,41.936836,train,222.23843834923392,100.0,0.9999119057345697
-6.768625,41.934556,train,Infinity,100.0,NaN
-6.648106,41.932149,train,0.15031709208951882,100.0,0.8847555532609745
-7.711236,43.029661,train,Infinity,100.0,NaN
-7.709348,43.119685,train,Infinity,100.0,NaN
-7.707451,43.209707,train,Infinity,100.0,NaN
-7.705545,43.299728,train,Infinity,100.0,NaN
-7.588531,43.028213,train,Infinity,100.0,NaN
-7.584386,43.20825,train,Infinity,100.0,NaN
-7.463589,43.116648,train,Infinity,100.0,NaN
-7.345567,42.934912,train,19.869679839332697,100.0,0.9990155663243258
-7.223072,42.933076,train,Infinity,100.0,NaN
-7.217871,43.113084,train,1584.3496433210519,100.0,0.9999876419861303
-7.215253,43.203086,train,16277.84541915932,100.0,0.9999987971606329
-7.212623,43.293086,train,20603.550283037952,100.0,0.999999049695904
-7.722384,42.489485,train,Infinity,100.0,NaN
-7.720547,42.579518,train,Infinity,100.0,NaN
-7.716848,42.759579,train,Infinity,100.0,NaN
-7.714986,42.849608,train,Infinity,100.0,NaN
-7.60074,42.488064,train,Infinity,100.0,NaN
-7.598729,42.578092,train,Infinity,100.0,NaN
-7.596708,42.66812,train,Infinity,100.0,NaN
-7.592638,42.848169,train,Infinity,100.0,NaN
-7.479105,42.486514,train,Infinity,100.0,NaN
-7.476919,42.576538,train,9.229256090362576,100.0,0.9978830138876467
-7.35748,42.484835,train,19.869679839332697,100.0,0.9990155663243258
-7.355119,42.574854,train,19.869679839332697,100.0,0.9990155663243258
-7.352748,42.66487,train,Infinity,100.0,NaN
-7.350365,42.754886,train,19.869679839332697,100.0,0.9990155663243258
-7.235866,42.483027,train,6.253961651546924,100.0,0.9968790104552118
-7.233331,42.57304,train,Infinity,100.0,NaN
-7.230784,42.663051,train,Infinity,100.0,NaN
-7.228225,42.753061,train,Infinity,100.0,NaN
-7.225654,42.843069,train,Infinity,100.0,NaN
-7.100589,42.931108,train,19.869679839332697,100.0,0.9990155663243258
-7.097816,43.021107,train,19.869679839332697,100.0,0.9990155663243258
-7.09503,43.111104,train,Infinity,100.0,NaN
-7.092232,43.2011,train,1584.3496433210519,100.0,0.9999876419861303
-7.08942,43.291094,train,Infinity,100.0,NaN
-6.972202,43.108993,train,19.869679839332697,100.0,0.9990155663243258
-6.969223,43.198982,train,19.869679839332697,100.0,0.9990155663243258
-6.966231,43.288969,train,1584.3496433210519,100.0,0.9999876419861303
-6.855662,42.92678,train,222.23843834923392,100.0,0.9999119057345697
-6.846229,43.196732,train,7.915901032219846,100.0,0.9975326438813895
-6.733219,42.92442,train,222.23843834923392,100.0,0.9999119057345697
-6.729911,43.014398,train,Infinity,100.0,NaN
-6.610792,42.921929,train,222.23843834923392,100.0,0.9999119057345697
-6.607305,43.011899,train,69.94932390327139,100.0,0.999720166304801
-7.111554,42.571097,train,Infinity,100.0,NaN
-7.108831,42.661102,train,Infinity,100.0,NaN
-7.106097,42.751106,train,222.23843834923392,100.0,0.9999119057345697
-7.103349,42.841108,train,19.869679839332697,100.0,0.9990155663243258
-6.992674,42.479024,train,69.94932390327139,100.0,0.999720166304801
-6.989789,42.569025,train,222.23843834923392,100.0,0.9999119057345697
-6.986892,42.659023,train,222.23843834923392,100.0,0.9999119057345697
-6.983981,42.74902,train,222.23843834923392,100.0,0.9999119057345697
-6.981056,42.839016,train,222.23843834923392,100.0,0.9999119057345697
-6.871097,42.47683,train,6.253961651546924,100.0,0.9968790104552118
-6.868038,42.566823,train,6.253961651546924,100.0,0.9968790104552118
-6.864965,42.656815,train,69.94932390327139,100.0,0.999720166304801
-6.861878,42.746805,train,Infinity,100.0,NaN
-6.858777,42.836794,train,Infinity,100.0,NaN
-6.749534,42.474506,train,0.013439405515911395,47.63161652329987,0.4070195989881126
-6.746301,42.564492,train,0.013439405515911395,47.63161652329987,0.4070195989881126
-6.743053,42.654477,train,0.013439405515911395,47.63161652329987,0.4070195989881126
-6.73979,42.74446,train,69.94932390327139,100.0,0.999720166304801
-6.736512,42.834441,train,Infinity,100.0,NaN
-6.627986,42.472054,train,69.94932390327139,100.0,0.999720166304801
